,2Y_yield,5Y_yield,10Y_yield,30Y_yield,2s10s_spread,2s10s_zscore,3m10y_spread,curve_level,curve_slope,curve_curvature,2Y_1m_change,2Y_3m_change,5Y_1m_change,5Y_3m_change,10Y_1m_change,10Y_3m_change,30Y_1m_change,30Y_3m_change,2Y_volatility,5Y_volatility,10Y_volatility,30Y_volatility,credit_spread,credit_spread_zscore,credit_spread_1m_change,credit_spread_3m_change,credit_spread_volatility
2011-01-14,0.3502653633704001,-1.7976878018981808,-5.29955520658335,-1.762782070128138,-4.015640287088286,-0.06699086590398437,-2.6732859281151184,-4.1151443447951666,-4.015640287088286,0.7523347201149493,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,4.408769356932086,4.634240242422373,2.4694657905314563,2.826942404466947,2.404007727684191,0.04770325546952746,0.01771227451875458,0.07237272347367264,2.252265174913333
2011-01-18,0.37464622149801247,-1.5376880624029943,-6.74165421291408,-3.4795820744449806,-5.062711482271137,-0.06699086590398437,-4.185187814545299,-4.846042174793168,-5.062711482271137,1.611190971879962,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,4.788268091238031,5.290165395044928,3.8048868801903466,4.432557601126778,2.9137480733146943,0.04770325546952746,0.01771227451875458,0.07237272347367264,2.6764773075684145
2011-01-19,1.2528208673733159,-1.766909837906226,-5.97832463470849,-3.62612207716153,-5.081985487536265,-0.06699086590398437,-3.5458173954232626,-4.014889906941231,-5.081985487536265,0.7177085963859734,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.421278438228616,5.77309057330197,4.1978223699688115,5.42289966005846,3.388599101210655,0.04770325546952746,0.01771227451875458,0.07237272347367264,3.1023592278080008
2011-01-20,1.1439673893038476,-1.680206646456218,-5.925904516777624,-2.767024278319937,-4.974435768228182,-0.06699086590398437,-2.5919202376328774,-3.99351098002889,-4.974435768228182,0.8106545137399714,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.763784769908835,6.035648328814732,4.420380772916589,5.562922044814273,3.6242873874541295,0.04770325546952746,0.01771227451875458,0.07237272347367264,3.442837760214775
2011-01-21,1.1421897373489787,-2.421235315371586,-8.33476655605764,-1.3420982629321037,-6.696093443073811,-0.06699086590398437,-3.862254099683571,-5.910223606146301,-6.696093443073811,1.2816074426634452,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.973870921365178,6.43589156192884,5.473942687284245,5.3121213136797785,4.218228375908448,0.04770325546952746,0.01771227451875458,0.07237272347367264,3.8447239082772278
2011-01-24,0.9280679217622991,-2.2842875367278594,-8.8569466146179,-0.6245763454453385,-6.931742098528555,-0.06699086590398437,-4.284409507638568,-6.274666780530721,-6.931742098528555,1.7189999758135484,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,6.035942204901859,6.6534224938648725,6.353281672544226,5.110166513049234,5.170206194151427,0.04770325546952746,0.01771227451875458,0.07237272347367264,4.411408168786582
2011-01-25,0.2642168279894937,-2.9719828159135218,-8.986837665324186,-0.4632872218608926,-6.597377975231456,-0.06699086590398437,-4.411657645705976,-7.118399810719049,-6.597377975231456,1.4737435757193007,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.916948175003538,6.984263744203458,6.985886746538538,4.945054524628722,6.314719559817657,0.04770325546952746,0.01771227451875458,0.07237272347367264,5.166145925028512
2011-01-26,-0.22508245201903831,-3.8419618716462933,-8.333663745664754,-0.11318208578146408,-5.815314421318655,-0.06699086590398437,-4.422632160095623,-7.4840902526075315,-5.815314421318655,0.6514407408214822,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.7358120926311535,7.468119955230765,7.247368765880663,4.8496657336376,6.868070514981528,0.04770325546952746,0.01771227451875458,0.07237272347367264,5.853201971063657
2011-01-27,0.2757055466734848,-3.883506918974321,-7.427610365956332,0.075856163485894,-5.489623444190599,-0.06699086590398437,-4.814316383482698,-6.667555886831675,-5.489623444190599,0.0035842029863913964,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.625814339719854,7.821754886747247,7.248013540023735,4.792714713878843,8.024455326032635,0.04770325546952746,0.01771227451875458,0.07237272347367264,6.679362543949987
2011-01-28,1.0767764847475305,-4.303722974712783,-6.908394131975208,-0.5131140999633937,-5.633860926058937,-0.06699086590398437,-4.721551131027744,-6.139796860695191,-5.633860926058937,-0.9076169333990374,-0.01993461085149347,0.0020758181977841594,-0.002181849683076629,-0.07440596584883828,-0.03739875913964892,-0.0903768423605938,-0.007056289393613133,0.04437827290229243,5.65730903492611,8.183217245555825,7.154235415333409,4.643622682019036,8.599295497401998,0.04770325546952746,0.01771227451875458,0.07237272347367264,7.428868586289698
