,AAA,BAA,AAA_10Y_spread,BAA_10Y_spread,High_Yield_Index,AAA_BAA_spread
2010-02-01,5.3,6.25,1.62,2.57,6.54,0.9500000000000002
2010-02-02,5.28,6.23,1.61,2.56,6.54,0.9500000000000002
2010-02-03,5.36,6.31,1.63,2.58,6.46,0.9499999999999993
2010-02-04,5.27,6.24,1.65,2.62,6.59,0.9700000000000006
2010-02-05,5.24,6.21,1.65,2.62,6.81,0.9699999999999998
2010-02-08,5.27,6.26,1.65,2.64,6.85,0.9900000000000002
2010-02-09,5.32,6.32,1.65,2.65,6.88,1.0
2010-02-10,5.39,6.38,1.67,2.66,6.93,0.9900000000000002
2010-02-11,5.43,6.43,1.7,2.7,6.98,1.0
2010-02-12,5.41,6.41,1.72,2.72,7.03,1.0
2010-02-15,5.41,6.41,1.72,2.72,7.01,1.0
2010-02-16,5.39,6.39,1.73,2.73,7.02,1.0
2010-02-17,5.46,6.47,1.72,2.73,6.8,1.0099999999999998
2010-02-18,5.49,6.51,1.7,2.72,6.65,1.0199999999999996
2010-02-19,5.43,6.43,1.65,2.65,6.56,1.0
2010-02-22,5.45,6.45,1.65,2.65,6.5,1.0
2010-02-23,5.33,6.34,1.64,2.65,6.6,1.0099999999999998
2010-02-24,5.32,6.35,1.62,2.65,6.58,1.0299999999999994
2010-02-25,5.26,6.28,1.62,2.64,6.65,1.0200000000000005
2010-02-26,5.21,6.23,1.6,2.62,6.66,1.0200000000000005
2010-02-28,5.21,6.23,1.6,2.62,6.71,1.0200000000000005
2010-03-01,5.22,6.26,1.61,2.65,6.66,1.04
2010-03-02,5.23,6.26,1.61,2.64,6.58,1.0299999999999994
2010-03-03,5.25,6.26,1.62,2.63,6.54,1.0099999999999998
2010-03-04,5.22,6.23,1.61,2.62,6.49,1.0100000000000007
2010-03-05,5.29,6.3,1.6,2.61,6.37,1.0099999999999998
2010-03-08,5.29,6.31,1.57,2.59,6.27,1.0199999999999996
2010-03-09,5.29,6.32,1.58,2.61,6.23,1.0300000000000002
2010-03-10,5.3,6.32,1.57,2.59,6.16,1.0200000000000005
2010-03-11,5.28,6.29,1.55,2.56,6.15,1.0099999999999998
2010-03-12,5.24,6.26,1.53,2.55,6.11,1.0199999999999996
2010-03-15,5.25,6.27,1.54,2.56,6.12,1.0199999999999996
2010-03-16,5.2,6.21,1.54,2.55,6.16,1.0099999999999998
2010-03-17,5.18,6.18,1.53,2.53,6.11,1.0
2010-03-18,5.21,6.2,1.53,2.52,6.02,0.9900000000000002
2010-03-19,5.2,6.19,1.5,2.49,5.98,0.9900000000000002
2010-03-22,5.19,6.17,1.52,2.5,6.02,0.9799999999999995
2010-03-23,5.22,6.2,1.53,2.51,6.0,0.9800000000000004
2010-03-24,5.34,6.32,1.5,2.48,5.85,0.9800000000000004
2010-03-25,5.4,6.38,1.49,2.47,5.78,0.9799999999999995
2010-03-26,5.35,6.35,1.49,2.49,5.8,1.0
2010-03-29,5.37,6.37,1.49,2.49,5.79,1.0
2010-03-30,5.37,6.36,1.49,2.48,5.77,0.9900000000000002
2010-03-31,5.32,6.31,1.48,2.47,5.84,0.9899999999999993
2010-04-01,5.33,6.33,1.44,2.44,5.82,1.0
2010-04-02,5.4,6.4,1.44,2.44,5.82,1.0
2010-04-05,5.44,6.44,1.43,2.43,5.65,1.0
2010-04-06,5.45,6.44,1.47,2.46,5.65,0.9900000000000002
2010-04-07,5.34,6.33,1.45,2.44,5.72,0.9900000000000002
2010-04-08,5.35,6.34,1.44,2.43,5.7,0.9900000000000002
2010-04-09,5.34,6.33,1.44,2.43,5.68,0.9900000000000002
2010-04-12,5.29,6.27,1.42,2.4,5.68,0.9799999999999995
2010-04-13,5.26,6.24,1.42,2.4,5.66,0.9800000000000004
2010-04-14,5.31,6.28,1.43,2.4,5.57,0.9700000000000006
2010-04-15,5.31,6.28,1.45,2.42,5.52,0.9700000000000006
2010-04-16,5.25,6.22,1.46,2.43,5.57,0.9699999999999998
2010-04-19,5.28,6.25,1.45,2.42,5.59,0.9699999999999998
2010-04-20,5.27,6.22,1.45,2.4,5.54,0.9500000000000002
2010-04-21,5.2,6.15,1.43,2.38,5.55,0.9500000000000002
2010-04-22,5.23,6.18,1.43,2.38,5.5,0.9499999999999993
2010-04-23,5.26,6.21,1.42,2.37,5.44,0.9500000000000002
2010-04-26,5.27,6.21,1.44,2.38,5.42,0.9400000000000004
2010-04-27,5.15,6.1,1.44,2.39,5.55,0.9499999999999993
2010-04-28,5.24,6.18,1.44,2.38,5.51,0.9399999999999995
2010-04-29,5.19,6.13,1.43,2.37,5.54,0.9399999999999995
2010-04-30,5.13,6.07,1.44,2.38,5.61,0.9400000000000004
2010-05-03,5.15,6.09,1.43,2.37,5.57,0.9399999999999995
2010-05-04,5.06,6.01,1.43,2.38,5.68,0.9500000000000002
2010-05-05,5.03,5.98,1.45,2.4,5.91,0.9500000000000002
2010-05-06,4.8,5.82,1.39,2.41,6.26,1.0200000000000005
2010-05-07,4.95,6.0,1.5,2.55,6.47,1.0499999999999998
2010-05-10,5.07,6.1,1.5,2.53,6.25,1.0299999999999994
2010-05-11,5.09,6.14,1.53,2.58,6.34,1.0499999999999998
2010-05-12,5.13,6.17,1.57,2.61,6.18,1.04
2010-05-13,5.11,6.15,1.56,2.6,6.14,1.04
2010-05-14,4.97,6.03,1.53,2.59,6.33,1.0600000000000005
2010-05-17,4.99,6.06,1.52,2.59,6.36,1.0699999999999994
2010-05-18,4.89,5.99,1.51,2.61,6.46,1.1000000000000005
2010-05-19,4.88,6.01,1.52,2.65,6.59,1.13
2010-05-20,4.83,5.99,1.58,2.74,6.92,1.1600000000000001
2010-05-21,4.78,5.96,1.58,2.76,7.02,1.1799999999999997
2010-05-24,4.83,6.02,1.6,2.79,6.97,1.1899999999999995
2010-05-25,4.77,5.99,1.59,2.81,7.24,1.2200000000000006
2010-05-26,4.89,6.08,1.68,2.87,7.07,1.1900000000000004
2010-05-27,5.04,6.23,1.7,2.89,6.88,1.1900000000000004
2010-05-28,5.01,6.2,1.7,2.89,6.9,1.1900000000000004
2010-05-31,5.01,6.2,1.7,2.89,6.98,1.1900000000000004
2010-06-01,4.95,6.21,1.66,2.92,7.04,1.2599999999999998
2010-06-02,5.02,6.26,1.67,2.91,7.04,1.2400000000000002
2010-06-03,5.05,6.31,1.66,2.92,6.93,1.2599999999999998
2010-06-04,4.88,6.15,1.68,2.95,7.14,1.2700000000000005
2010-06-07,4.89,6.17,1.72,3.0,7.18,1.2800000000000002
2010-06-08,4.86,6.17,1.68,2.99,7.27,1.3099999999999996
2010-06-09,4.88,6.2,1.68,3.0,7.26,1.3200000000000003
2010-06-10,5.0,6.34,1.67,3.01,7.19,1.3399999999999999
2010-06-11,4.89,6.28,1.65,3.04,7.27,1.3900000000000006
2010-06-14,4.96,6.34,1.68,3.06,7.16,1.38
2010-06-15,4.99,6.37,1.67,3.05,7.03,1.38
2010-06-16,4.96,6.34,1.69,3.07,6.97,1.38
2010-06-17,4.86,6.25,1.65,3.04,6.91,1.3899999999999997
2010-06-18,4.87,6.28,1.63,3.04,6.82,1.4100000000000001
2010-06-21,4.89,6.28,1.63,3.02,6.68,1.3900000000000006
2010-06-22,4.82,6.22,1.64,3.04,6.75,1.3999999999999995
2010-06-23,4.82,6.18,1.69,3.05,6.82,1.3599999999999994
2010-06-24,4.85,6.22,1.71,3.08,6.89,1.37
2010-06-25,4.83,6.21,1.71,3.09,6.9,1.38
2010-06-28,4.78,6.15,1.73,3.1,6.93,1.37
2010-06-29,4.71,6.09,1.74,3.12,7.06,1.38
2010-06-30,4.66,6.05,1.69,3.08,7.13,1.3899999999999997
2010-07-01,4.62,5.98,1.66,3.02,7.17,1.3600000000000003
2010-07-02,4.69,6.04,1.69,3.04,7.13,1.3499999999999996
2010-07-05,4.69,6.04,1.69,3.04,7.13,1.3499999999999996
2010-07-06,4.64,6.0,1.69,3.05,7.14,1.3600000000000003
2010-07-07,4.71,6.08,1.71,3.08,7.1,1.37
2010-07-08,4.75,6.11,1.71,3.07,6.98,1.3600000000000003
2010-07-09,4.79,6.14,1.72,3.07,6.88,1.3499999999999996
2010-07-12,4.79,6.13,1.71,3.05,6.85,1.3399999999999999
2010-07-13,4.86,6.18,1.71,3.03,6.7,1.3199999999999994
2010-07-14,4.76,6.09,1.69,3.02,6.68,1.33
2010-07-15,4.68,6.02,1.68,3.02,6.73,1.3399999999999999
