,CPI,Core_CPI,Unemployment,GDP,Industrial_Production,Retail_Sales,Housing_Starts,Consumer_Sentiment,VIX,Inflation_YoY,Core_Inflation_YoY
2010-01-01,,,,16582.71,,,,,,,
2010-02-01,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,22.59,,
2010-02-02,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,21.48,,
2010-02-03,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,21.6,,
2010-02-04,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,26.08,,
2010-02-05,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,26.11,,
2010-02-08,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,26.51,,
2010-02-09,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,26.0,,
2010-02-10,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,25.4,,
2010-02-11,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,23.96,,
2010-02-12,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,22.73,,
2010-02-15,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,22.73,,
2010-02-16,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,22.25,,
2010-02-17,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,21.72,0.0,0.0
2010-02-18,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,20.63,0.0,0.0
2010-02-19,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,20.02,0.0,0.0
2010-02-22,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,19.94,0.0,0.0
2010-02-23,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,21.37,0.0,0.0
2010-02-24,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,20.27,0.0,0.0
2010-02-25,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,20.1,0.0,0.0
2010-02-26,217.281,220.731,9.8,16582.71,89.5046,346724.0,604.0,73.6,19.5,0.0,0.0
2010-03-01,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,19.26,0.03313681361922782,0.023558086539732237
2010-03-02,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,19.06,0.03313681361922782,0.023558086539732237
2010-03-03,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.83,0.03313681361922782,0.023558086539732237
2010-03-04,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.72,0.03313681361922782,0.023558086539732237
2010-03-05,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.42,0.03313681361922782,0.023558086539732237
2010-03-08,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.79,0.03313681361922782,0.023558086539732237
2010-03-09,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.92,0.03313681361922782,0.023558086539732237
2010-03-10,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.57,0.03313681361922782,0.023558086539732237
2010-03-11,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.06,0.03313681361922782,0.023558086539732237
2010-03-12,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.58,0.03313681361922782,0.023558086539732237
2010-03-15,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.0,0.03313681361922782,0.023558086539732237
2010-03-16,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.69,0.03313681361922782,0.023558086539732237
2010-03-17,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,16.91,0.0,0.0
2010-03-18,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,16.62,0.0,0.0
2010-03-19,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,16.97,0.0,0.0
2010-03-22,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,16.87,0.0,0.0
2010-03-23,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,16.35,0.0,0.0
2010-03-24,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.55,0.0,0.0
2010-03-25,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,18.4,0.0,0.0
2010-03-26,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.77,0.0,0.0
2010-03-29,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.59,0.0,0.0
2010-03-30,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.13,0.0,0.0
2010-03-31,217.353,220.783,9.9,16582.71,90.1356,354119.0,636.0,73.6,17.59,0.0,0.0
2010-04-01,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,17.47,0.023004053314190642,0.017664403509343174
2010-04-02,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,17.47,0.023004053314190642,0.017664403509343174
2010-04-05,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,17.02,0.023004053314190642,0.017664403509343174
2010-04-06,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.23,0.023004053314190642,0.017664403509343174
2010-04-07,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.62,0.023004053314190642,0.017664403509343174
2010-04-08,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.48,0.023004053314190642,0.017664403509343174
2010-04-09,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.14,0.023004053314190642,0.017664403509343174
2010-04-12,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,15.58,0.023004053314190642,0.017664403509343174
2010-04-13,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.2,0.023004053314190642,0.017664403509343174
2010-04-14,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,15.59,0.023004053314190642,0.017664403509343174
2010-04-15,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,15.89,0.023004053314190642,0.017664403509343174
2010-04-16,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,18.36,0.023004053314190642,0.017664403509343174
2010-04-19,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,17.34,0.0,0.0
2010-04-20,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,15.73,0.0,0.0
2010-04-21,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.32,0.0,0.0
2010-04-22,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.47,0.0,0.0
2010-04-23,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,16.62,0.0,0.0
2010-04-26,217.403,220.822,9.9,16743.162,90.4607,357354.0,687.0,72.2,17.47,0.0,0.0
